locationID,arrestBorough,latitude,longitude
POINT (-73.8877667333652 40.83737082564831),Bronx,40.83737082564831,-73.8877667333652
POINT (-73.853194 40.72677),Queens,40.72677,-73.853194
POINT (-73.911086 40.753776),Queens,40.753776,-73.911086
POINT (-73.7947294048248 40.71001285248804),Queens,40.71001285248804,-73.7947294048248
POINT (-74.00441848198547 40.654309475457225),Brooklyn,40.654309475457225,-74.00441848198547
POINT (-73.986449 40.583375),Brooklyn,40.583375,-73.986449
POINT (-73.917856 40.846283),Bronx,40.846283,-73.917856
POINT (-73.985147 40.746198),Manhattan,40.746198,-73.985147
POINT (-73.751926 40.603701),Queens,40.603701,-73.751926
POINT (-73.881062 40.844251),Bronx,40.844251,-73.881062
POINT (-73.91828295359788 40.81935821375364),Bronx,40.81935821375364,-73.91828295359788
POINT (-73.989811 40.759759),Manhattan,40.759759,-73.989811
POINT (-74.084938 40.634852),Staten Island,40.634852,-74.084938
POINT (-73.95883922697111 40.68301805469598),Brooklyn,40.68301805469598,-73.95883922697111
POINT (-73.923181 40.674634),Brooklyn,40.674634,-73.923181
POINT (-73.936063 40.803362),Manhattan,40.803362,-73.936063
POINT (-73.91745881573215 40.816761121470755),Bronx,40.81676112147076,-73.91745881573215
POINT (-73.962355 40.657694),Brooklyn,40.657694,-73.962355
POINT (-73.823835 40.869104),Bronx,40.869104,-73.823835
POINT (-73.906283 40.716893),Queens,40.716893,-73.906283
POINT (-73.920524 40.65018),Brooklyn,40.65018,-73.920524
POINT (-73.8075836597636 40.70414752375049),Queens,40.70414752375049,-73.8075836597636
POINT (-73.927885 40.838241),Bronx,40.838241,-73.927885
POINT (-73.995983 40.596366),Brooklyn,40.596366,-73.995983
POINT (-73.840079 40.682389),Queens,40.682389,-73.840079
POINT (-74.03042587067107 40.625010432976495),Brooklyn,40.625010432976495,-74.03042587067107
POINT (-73.870144 40.744981),Queens,40.744981,-73.870144
POINT (-73.917495 40.698323),Brooklyn,40.698323,-73.917495
